"Indicator","Region","Economic activity type","Frequency","Unit of measure","Scaling","Decimals displayed","Confidentiality","Timeseries notes","Observation notes","2016","2017","2018","2019","2020","2021","2022"
"Amount of electricity used","Zaporizka","Total","Annual","Kilowatt-hour","Thousands","Two","","1. Використання електричної енергії на виробничо-експлуатаційні та господарські потреби підприємств без урахування обсягів, відпущених населенню./Electricity used for production and economic needs of enterprises doesn't include the amount  released to the residential sector.","1. Інформація сформована на основі фактично поданих підприємствами звітів. Дані можуть бути уточнені./Information has been compiled on the basis of reports actually submitted by enterprises. Data may be revised.","8525362.0","8914018.0","8958305.7","8678254.3","7454972.2","","2654990.5"
"Amount of electricity used","Luhanska","Total","Annual","Kilowatt-hour","Thousands","Two","Confidential statistical information","1. Дані наведені без урахування тимчасово окупованої території Автономної Республіки Крим, м. Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях./Data exclude the temporarily occupied territory of the Autonomous Republic of Crimea, the city of Sevastopol and a part of temporarily occupied territories in the Donetsk and Luhansk regions.; 2. Використання електричної енергії на виробничо-експлуатаційні та господарські потреби підприємств без урахування обсягів, відпущених населенню./Electricity used for production and economic needs of enterprises doesn't include the amount  released to the residential sector.","1. Інформація сформована на основі фактично поданих підприємствами звітів. Дані можуть бути уточнені./Information has been compiled on the basis of reports actually submitted by enterprises. Data may be revised.","2778822.0","2061683.0","1344432.7","1217605.6","1161035.6","",""
"Amount of electricity used","Ternopilska","Total","Annual","Kilowatt-hour","Thousands","Two","","1. Використання електричної енергії на виробничо-експлуатаційні та господарські потреби підприємств без урахування обсягів, відпущених населенню./Electricity used for production and economic needs of enterprises doesn't include the amount  released to the residential sector.","1. Інформація сформована на основі фактично поданих підприємствами звітів. Дані можуть бути уточнені./Information has been compiled on the basis of reports actually submitted by enterprises. Data may be revised.","456317.0","490386.0","502419.4","461330.3","419851.3","","422411.3"
"Amount of electricity used","Zhytomyrska","Total","Annual","Kilowatt-hour","Thousands","Two","","1. Використання електричної енергії на виробничо-експлуатаційні та господарські потреби підприємств без урахування обсягів, відпущених населенню./Electricity used for production and economic needs of enterprises doesn't include the amount  released to the residential sector.","1. Інформація сформована на основі фактично поданих підприємствами звітів. Дані можуть бути уточнені./Information has been compiled on the basis of reports actually submitted by enterprises. Data may be revised.","1221955.0","1235123.0","1292911.6","1242681.4","1268438.1","","945659.0"
"Amount of electricity used","Khmelnytska","Total","Annual","Kilowatt-hour","Thousands","Two","","1. Використання електричної енергії на виробничо-експлуатаційні та господарські потреби підприємств без урахування обсягів, відпущених населенню./Electricity used for production and economic needs of enterprises doesn't include the amount  released to the residential sector.","1. Інформація сформована на основі фактично поданих підприємствами звітів. Дані можуть бути уточнені./Information has been compiled on the basis of reports actually submitted by enterprises. Data may be revised.","1834182.0","1879352.0","1787707.2","1599363.7","1710960.1","","1569289.7"
"Amount of electricity used","Khersonska","Total","Annual","Kilowatt-hour","Thousands","Two","","1. Використання електричної енергії на виробничо-експлуатаційні та господарські потреби підприємств без урахування обсягів, відпущених населенню./Electricity used for production and economic needs of enterprises doesn't include the amount  released to the residential sector.","1. Інформація сформована на основі фактично поданих підприємствами звітів. Дані можуть бути уточнені./Information has been compiled on the basis of reports actually submitted by enterprises. Data may be revised.","976506.0","1091690.0","1241048.3","1121620.6","997488.2","","61635.0"
"Amount of electricity used","Donetska","Total","Annual","Kilowatt-hour","Thousands","Two","","1. Дані наведені без урахування тимчасово окупованої території Автономної Республіки Крим, м. Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях./Data exclude the temporarily occupied territory of the Autonomous Republic of Crimea, the city of Sevastopol and a part of temporarily occupied territories in the Donetsk and Luhansk regions.; 2. Використання електричної енергії на виробничо-експлуатаційні та господарські потреби підприємств без урахування обсягів, відпущених населенню./Electricity used for production and economic needs of enterprises doesn't include the amount  released to the residential sector.","1. Інформація сформована на основі фактично поданих підприємствами звітів. Дані можуть бути уточнені./Information has been compiled on the basis of reports actually submitted by enterprises. Data may be revised.","1.038167E7","9316823.0","8478546.7","9102257.1","8901484.3","","1813894.6"
"Amount of electricity used","Rivnenska","Total","Annual","Kilowatt-hour","Thousands","Two","","1. Використання електричної енергії на виробничо-експлуатаційні та господарські потреби підприємств без урахування обсягів, відпущених населенню./Electricity used for production and economic needs of enterprises doesn't include the amount  released to the residential sector.","1. Інформація сформована на основі фактично поданих підприємствами звітів. Дані можуть бути уточнені./Information has been compiled on the basis of reports actually submitted by enterprises. Data may be revised.","2550893.0","2642230.0","2462567.0","2814660.0","2678332.2","","2448108.2"
"Amount of electricity used","Poltavska","Total","Annual","Kilowatt-hour","Thousands","Two","","1. Використання електричної енергії на виробничо-експлуатаційні та господарські потреби підприємств без урахування обсягів, відпущених населенню./Electricity used for production and economic needs of enterprises doesn't include the amount  released to the residential sector.","1. Інформація сформована на основі фактично поданих підприємствами звітів. Дані можуть бути уточнені./Information has been compiled on the basis of reports actually submitted by enterprises. Data may be revised.","4010496.0","4065344.0","4046275.2","3981528.0","3822701.4","","2493988.6"
"Amount of electricity used","Sumska","Total","Annual","Kilowatt-hour","Thousands","Two","","1. Використання електричної енергії на виробничо-експлуатаційні та господарські потреби підприємств без урахування обсягів, відпущених населенню./Electricity used for production and economic needs of enterprises doesn't include the amount  released to the residential sector.","1. Інформація сформована на основі фактично поданих підприємствами звітів. Дані можуть бути уточнені./Information has been compiled on the basis of reports actually submitted by enterprises. Data may be revised.","1281842.0","1254959.0","1312104.9","1264421.8","1196932.2","","829490.0"
"Amount of electricity used","Kirovohradska","Total","Annual","Kilowatt-hour","Thousands","Two","","1. Використання електричної енергії на виробничо-експлуатаційні та господарські потреби підприємств без урахування обсягів, відпущених населенню./Electricity used for production and economic needs of enterprises doesn't include the amount  released to the residential sector.","1. Інформація сформована на основі фактично поданих підприємствами звітів. Дані можуть бути уточнені./Information has been compiled on the basis of reports actually submitted by enterprises. Data may be revised.","2254939.0","2256278.0","2536736.6","2387839.8","2284441.6","","1437395.8"
"Amount of electricity used","Odeska","Total","Annual","Kilowatt-hour","Thousands","Two","","1. Використання електричної енергії на виробничо-експлуатаційні та господарські потреби підприємств без урахування обсягів, відпущених населенню./Electricity used for production and economic needs of enterprises doesn't include the amount  released to the residential sector.","1. Інформація сформована на основі фактично поданих підприємствами звітів. Дані можуть бути уточнені./Information has been compiled on the basis of reports actually submitted by enterprises. Data may be revised.","3025091.0","2772597.0","2723879.8","2585053.0","2320086.5","","1471025.8"
"Amount of electricity used","Vinnytska","Total","Annual","Kilowatt-hour","Thousands","Two","","1. Використання електричної енергії на виробничо-експлуатаційні та господарські потреби підприємств без урахування обсягів, відпущених населенню./Electricity used for production and economic needs of enterprises doesn't include the amount  released to the residential sector.","1. Інформація сформована на основі фактично поданих підприємствами звітів. Дані можуть бути уточнені./Information has been compiled on the basis of reports actually submitted by enterprises. Data may be revised.","1754099.0","1907128.0","1856060.5","1884022.0","1728791.1","","1887082.2"
"Amount of electricity used","Volynska","Total","Annual","Kilowatt-hour","Thousands","Two","","1. Використання електричної енергії на виробничо-експлуатаційні та господарські потреби підприємств без урахування обсягів, відпущених населенню./Electricity used for production and economic needs of enterprises doesn't include the amount  released to the residential sector.","1. Інформація сформована на основі фактично поданих підприємствами звітів. Дані можуть бути уточнені./Information has been compiled on the basis of reports actually submitted by enterprises. Data may be revised.","756842.0","760722.0","835956.2","797636.1","683202.1","","716714.1"
"Amount of electricity used","Ivano-Frankivska","Total","Annual","Kilowatt-hour","Thousands","Two","","1. Використання електричної енергії на виробничо-експлуатаційні та господарські потреби підприємств без урахування обсягів, відпущених населенню./Electricity used for production and economic needs of enterprises doesn't include the amount  released to the residential sector.","1. Інформація сформована на основі фактично поданих підприємствами звітів. Дані можуть бути уточнені./Information has been compiled on the basis of reports actually submitted by enterprises. Data may be revised.","1934898.0","2489517.0","2966028.6","2867256.4","2577862.4","","1849077.2"
"Amount of electricity used","Kyivska","Total","Annual","Kilowatt-hour","Thousands","Two","","1. Використання електричної енергії на виробничо-експлуатаційні та господарські потреби підприємств без урахування обсягів, відпущених населенню./Electricity used for production and economic needs of enterprises doesn't include the amount  released to the residential sector.","1. Інформація сформована на основі фактично поданих підприємствами звітів. Дані можуть бути уточнені./Information has been compiled on the basis of reports actually submitted by enterprises. Data may be revised.","3081621.0","2972507.0","3213952.3","3174116.7","3014647.6","","2025062.0"
"Amount of electricity used","Cherkaska","Total","Annual","Kilowatt-hour","Thousands","Two","","1. Використання електричної енергії на виробничо-експлуатаційні та господарські потреби підприємств без урахування обсягів, відпущених населенню./Electricity used for production and economic needs of enterprises doesn't include the amount  released to the residential sector.","1. Інформація сформована на основі фактично поданих підприємствами звітів. Дані можуть бути уточнені./Information has been compiled on the basis of reports actually submitted by enterprises. Data may be revised.","2023109.0","1936741.0","2000838.9","1964579.0","1773688.9","","1401051.2"
"Amount of electricity used","Zakarpatska","Total","Annual","Kilowatt-hour","Thousands","Two","","1. Використання електричної енергії на виробничо-експлуатаційні та господарські потреби підприємств без урахування обсягів, відпущених населенню./Electricity used for production and economic needs of enterprises doesn't include the amount  released to the residential sector.","1. Інформація сформована на основі фактично поданих підприємствами звітів. Дані можуть бути уточнені./Information has been compiled on the basis of reports actually submitted by enterprises. Data may be revised.","529074.0","542439.0","547647.5","509134.2","443351.2","","381695.0"
"Amount of electricity used","Mykolaivska","Total","Annual","Kilowatt-hour","Thousands","Two","","1. Використання електричної енергії на виробничо-експлуатаційні та господарські потреби підприємств без урахування обсягів, відпущених населенню./Electricity used for production and economic needs of enterprises doesn't include the amount  released to the residential sector.","1. Інформація сформована на основі фактично поданих підприємствами звітів. Дані можуть бути уточнені./Information has been compiled on the basis of reports actually submitted by enterprises. Data may be revised.","3170112.0","3121997.0","3115225.4","3093165.5","3299320.0","","2267758.2"
"Amount of electricity used","Kharkivska","Total","Annual","Kilowatt-hour","Thousands","Two","","1. Використання електричної енергії на виробничо-експлуатаційні та господарські потреби підприємств без урахування обсягів, відпущених населенню./Electricity used for production and economic needs of enterprises doesn't include the amount  released to the residential sector.","1. Інформація сформована на основі фактично поданих підприємствами звітів. Дані можуть бути уточнені./Information has been compiled on the basis of reports actually submitted by enterprises. Data may be revised.","4016886.0","4088972.0","4144437.4","4042289.8","3596404.6","","1662568.5"
"Amount of electricity used","Lvivska","Total","Annual","Kilowatt-hour","Thousands","Two","","1. Використання електричної енергії на виробничо-експлуатаційні та господарські потреби підприємств без урахування обсягів, відпущених населенню./Electricity used for production and economic needs of enterprises doesn't include the amount  released to the residential sector.","1. Інформація сформована на основі фактично поданих підприємствами звітів. Дані можуть бути уточнені./Information has been compiled on the basis of reports actually submitted by enterprises. Data may be revised.","2529817.0","2713102.0","2793786.1","2538517.5","2302940.8","","2298946.5"
"Amount of electricity used","Dnipropetrovska","Total","Annual","Kilowatt-hour","Thousands","Two","","1. Використання електричної енергії на виробничо-експлуатаційні та господарські потреби підприємств без урахування обсягів, відпущених населенню./Electricity used for production and economic needs of enterprises doesn't include the amount  released to the residential sector.","1. Інформація сформована на основі фактично поданих підприємствами звітів. Дані можуть бути уточнені./Information has been compiled on the basis of reports actually submitted by enterprises. Data may be revised.","2.3489432E7","2.3050728E7","2.34634999E7","2.28466308E7","2.20120148E7","","1.28758435E7"
"Amount of electricity used","Kyiv","Total","Annual","Kilowatt-hour","Thousands","Two","","1. Використання електричної енергії на виробничо-експлуатаційні та господарські потреби підприємств без урахування обсягів, відпущених населенню./Electricity used for production and economic needs of enterprises doesn't include the amount  released to the residential sector.","1. Інформація сформована на основі фактично поданих підприємствами звітів. Дані можуть бути уточнені./Information has been compiled on the basis of reports actually submitted by enterprises. Data may be revised.","4953417.0","5090061.0","6298409.1","6085492.8","5551946.6","","3917842.2"
"Amount of electricity used","Chernihivska","Total","Annual","Kilowatt-hour","Thousands","Two","","1. Використання електричної енергії на виробничо-експлуатаційні та господарські потреби підприємств без урахування обсягів, відпущених населенню./Electricity used for production and economic needs of enterprises doesn't include the amount  released to the residential sector.","1. Інформація сформована на основі фактично поданих підприємствами звітів. Дані можуть бути уточнені./Information has been compiled on the basis of reports actually submitted by enterprises. Data may be revised.","889001.0","892199.0","895825.4","853119.3","786968.9","","525197.1"
"Amount of electricity used","Chernivetska","Total","Annual","Kilowatt-hour","Thousands","Two","Confidential statistical information","1. Використання електричної енергії на виробничо-експлуатаційні та господарські потреби підприємств без урахування обсягів, відпущених населенню./Electricity used for production and economic needs of enterprises doesn't include the amount  released to the residential sector.","1. Інформація сформована на основі фактично поданих підприємствами звітів. Дані можуть бути уточнені./Information has been compiled on the basis of reports actually submitted by enterprises. Data may be revised.","2070046.0","2021782.0","2001769.8","1682619.5","1900688.6","",""
